Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Examining the impact of treatment guidelines on outpatient antibiotic prescription trends at a cancer center in Pakistan.,"Abbas, Salma; Aslam, Seemal; Batool, Sara; Zafar, Mahnoor; Khaliq, Sadia; Fatima, Momal; Shehzad, Iraj; Arslan, Muhammad; Attiq, Iqra; Shehbaz, Muhammad; Khan, Anum; Raza, Muhammad Ali; Zulfiqar, Hamza; Mahmood, Ahsan; Sultan, Faisal","Objective: To assess the impact of treatment guidelines on the trends of outpatient antibiotic prescription among pediatric and adult patients at a cancer center in Pakistan., Design: Retrospective observational study conducted between July 1st 2018 and July 31st 2023., Methods: We determined the indication for antibiotics and the frequency of guideline-discordant prescriptions for upper respiratory tract infection (URTI), lower respiratory tract infection (LRTI), urinary tract infection (UTI), and diarrhea. The chi2 test was used to assess the impact of treatment guidelines on antibiotics prescribed for these indications., Results: The top indications for antibiotic prescription were skin and skin structure infection (SSSI) (n = 5159; 21.5%), URTI (n = 2760; 11.5%) and UTI (n = 2686; 11.2%). Amoxicillin-clavulanate (n = 7964; 33.3%), was the most frequently prescribed antibiotic. A large proportion of antibiotic prescriptions for URTI, diarrhea, UTI, and LRTI were either inappropriate (n = 6695; 86.5%) or unnecessary (n = 5534; 71.5%). Results revealed a statistically significant decline in the proportion of inappropriate antibiotics for UTI (91.3% vs 84.0%; P <= .001) and diarrhea (92.6% vs 87.0%; P = .031) and unnecessary antibiotics for diarrhea (90.2% vs 83.2%; P = .016) with the introduction of treatment guidelines. We noted a higher proportion of unnecessary prescriptions for LRTI (41.7% vs 31.7%; P = .003) and inappropriate antibiotics for UTI (95.1% vs 87.4%; P = .011) for pediatric patients., Conclusion: Misuse of outpatient antibiotics is common. Diarrhea, URTI, UTI, and LRTI are high-priority conditions for outpatient oncology-focused prescriber education and stewardship interventions. Copyright © The Author(s) 2025.",2025,/,Antimicrobial stewardship & healthcare epidemiology : ASHE,5,1,e51,,https://dx.doi.org/10.1017/ash.2025.2,40026775,#5011,Abbas 2025,"",Not RCT
Impact of complex interventions on antibacterial therapy and etiological diagnostics in community-acquired pneumonia: a 12-month pre- and post-intervention study.,"Ablakimova, Nurgul; Rachina, Svetlana; Smagulova, Gaziza; Vlasenko, Anna; Mussina, Aigul; Zhylkybekova, Aliya; Yessenzhulova, Ardak; Koshmaganbetova, Gulbakit K; Iztleuov, Yerbolat","Background: Antimicrobial resistance (AMR) is a growing global health concern, with community-acquired pneumonia (CAP) remaining a leading cause of hospitalization and empirical antibiotic use. However, adherence to clinical guidelines in CAP management is inconsistent, particularly in resource-limited settings., Objectives: This study aimed to evaluate the impact of a complex antimicrobial stewardship intervention on the quality of antibacterial therapy and diagnostic practices in hospitalized patients with CAP in Aktobe, Kazakhstan., Methods: A 12-month pre- and post-intervention study was conducted in two multidisciplinary hospitals. The intervention included educational sessions, implementation of protocol-based care, and improved access to diagnostic tools. Key indicators assessed included adherence to national antibiotic guidelines, use of severity scoring tools, timely antibiotic administration, microbiological diagnostics, and step-down therapy., Results: Significant improvements were observed in several indicators: guideline-adherent antibiotic prescribing increased from 75% to 93.5% (p < 0.001), step-down therapy from 2.7% to 8.2% (p = 0.021), and use of CURB-65/CRB-65 from 0% to 8.7% (p < 0.001). Use of urinary antigen tests increased from 0% to 12% (p < 0.001), while evaluation of antibiotic effectiveness at 48-72 h rose from 40.2% to 70.1% (p < 0.001). Multivariable logistic regression confirmed the independent impact of the intervention, adjusting for factors such as age, pneumonia severity, and shift type (day shift vs off-duty shift)., Conclusion: A targeted, context-specific intervention significantly improved key quality indicators in CAP management. These findings support the effectiveness of multifaceted stewardship strategies in improving clinical practice and mitigating AMR. Copyright © 2025 Ablakimova, Rachina, Smagulova, Vlasenko, Mussina, Zhylkybekova, Yessenzhulova, Koshmaganbetova and Iztleuov.",2025,/,Frontiers in pharmacology,16,101548923,1627858,,https://dx.doi.org/10.3389/fphar.2025.1627858,40727100,#5063,Ablakimova 2025,"",Possible RCT
[Pharmacist interventions on antibiotic prescriptions in outpatient pediatric unit in a teaching hospital of Cote d'Ivoire].,"Abrogoua, D P; Koffi, N O; Doffou, E","OBJECTIVES: The objectives of our study were to analyse the prescriptions of antibiotics and assessing the relevance of pharmacist interventions (PI) in outpatient consultations in a pediatric unit of a Teaching Hospital of Abidjan, Cote d'Ivoire., METHODS: We conducted a cross-sectional descriptive study from May to December 2013. The analysis of antibiotic prescriptions was documented. The tool of PI classification validated by the French Society of Clinical Pharmacy was used. The PI rating was made by prescribers. This rating evolved from PI0 to PI3 depending on the severity of the clinical impact of the problem and to the severity of clinical consequences avoided by the PI. The relevance was evaluated by the PI acceptance rate by physicians and clinical evaluation of their impact., RESULTS: Our study included 150 patients with a mean age of 11.75 months and a sex ratio (M/F) of 2. The amoxicillin-clavulanic acid (27.2 %) and amoxicillin (22.3 %) were the most prescribed antibiotics. Sixty-three drug-related problems (DRPs) were detected on the antibiotic prescriptions. They were non-optimal drug administration plan (88.9 %) and underdose (11.1 %). The amoxicillin-clavulanic acid (61.9 %) and josamycin (17.4 %) were the most affected by these DRPs. PI were related to the precision of modes of drug administration (88.9 %) and dose adjustments (11.1 %). The prescribers accepted 93.7 % of PIs. All accepted PIs was rated PI1 (significant clinical impact)., CONCLUSIONS: PIs performed on antibiotic prescription were relevant with a high rate of acceptance and a significant clinical impact. Copyright © 2016. Published by Elsevier Masson SAS.",2016,/,Annales pharmaceutiques francaises,74,5,380-8,,https://dx.doi.org/10.1016/j.pharma.2015.12.004,26774460,#5078,Abrogoua 2016,"",Not RCT
Improvements in Prescribing Indicators and Antibiotic Utilization Patterns Following Antimicrobial Stewardship Intervention at a District Hospital in Ghana.,"Abruquah, Nana Akua; Amponsah, Obed Kwabena Offe; Nair, Divya; Opoku, Douglas Aninng; Konadu, Emmanuel; Prajitha, Kannamkottapilly Chandrasekharan; Osafo, Annabella Bensusan; Buabeng, Kwame Ohene; Ayisi-Boateng, Nana Kwame","Rational use of medicines, particularly antimicrobials, is critical for reducing antimicrobial resistance. In 2021, a study conducted at the outpatient department (OPD) of a district hospital in Ghana, identified high antibiotic prescribing and suboptimal adherence to World Health Organization (WHO) prescribing indicators. Based on those findings, antimicrobial stewardship (AMS) intervention was extended to the OPD. This before-and-after study was used to compare WHO prescribing indicators and patterns of antibiotic use, using WHO AWaRe (Access, Watch and Reserve) categorization of the years 2021 and 2023. A total of 65,157 patients visited the OPD in 2023 with 171,517 patient encounters and 247,313 prescriptions. Encounters resulting in antibiotic prescriptions halved from 36% to 18%. The average number of medicines prescribed per encounter reduced from three to two. Prescriptions using generic names increased from 76% to 80% and injection use reduced from 7% to 6%. However, prescriptions from the Ghana essential medicines list reduced from 90% to 79%. Access antibiotics use remained unchanged while Watch and Reserve categories increased by 5% and 2%, respectively. The AMS interventions potentially improved three of five WHO indicators. Continued efforts are needed to achieve complete compliance with all indicators and increase access antibiotic use to above 70%.",2025,/,Tropical medicine and infectious disease,10,10,,,https://dx.doi.org/10.3390/tropicalmed10100282,41150359,#5079,Abruquah 2025,"",Not RCT
Impact of pharmacist-led antibiotic stewardship interventions on compliance with surgical antibiotic prophylaxis in obstetric and gynecologic surgeries in Nigeria.,"Abubakar, Usman; Syed Sulaiman, Syed Azhar; Adesiyun, Adebiyi Gbadebo","BACKGROUND: Inappropriate and excessive use of surgical antibiotic prophylaxis are associated with the emergence of antibiotic resistance. Antibiotic prophylaxis malpractices are common in obstetrics and gynecology settings and antibiotic stewardship is used to correct such malpractice., OBJECTIVE: To evaluate the impact of antibiotic stewardship interventions on compliance with surgical antibiotic prophylaxis practice in obstetrics and gynecology surgeries., METHOD: A prospective pre- and post-intervention study was conducted in two tertiary hospitals between May and December 2016. The duration of the each period was 3 months. Antibiotic stewardship interventions including development of a protocol, educational meeting and audit and feedback were implemented. Data were collected using the patient records and analyzed with SPSS version 23., RESULTS: A total of 226 and 238 surgical procedures were included in the pre- and post-intervention periods respectively. Age, length of stay and estimated blood loss were similar between the two groups. However, specialty and surgical procedures varied significantly. There was a significant increase in compliance with timing (from 14.2% to 43.3%) and duration (from 0% to 21.8%) of surgical antibiotic prophylaxis after the interventions. The interventions significantly reduced the prescription of third generation cephalosporin (-8.6%), redundant antibiotic (-19.1%), antibiotic utilization (-3.8 DDD/procedure) and cost of antibiotic prophylaxis (-$4.2/procedure). There was no significant difference in the rate of surgical site infection between the two periods. Post-intervention group (OR: 5.60; 95% CI: 3.31-9.47), elective surgery (OR: 4.62; 95% CI: 2.51-8.47) and hospital attended (OR: 9.89; 95% CI: 5.66-17.26) were significant predictors of compliance with timing while elective surgery (OR: 12.49; 95% CI: 2.85-54.71) and compliance with timing (OR: 58.55; 95% CI: 12.66-270.75) were significantly associated with compliance to duration of surgical antibiotic prophylaxis., CONCLUSION: The interventions improve compliance with surgical antibiotic prophylaxis and reduce antibiotic utilization and cost. However, there is opportunity for further improvement, particularly in non-elective surgical procedures.",2019,/,PloS one,14,3,e0213395,,https://dx.doi.org/10.1371/journal.pone.0213395,30845240,#5094,Abubakar 2019,"",Not RCT
Carbapenem De-escalation in urinary tract infections: prevalence and outcomes among hospitalized patients.,"Abuelshayeb, Leedia; Abu-Farha, Rana; Hammour, Khawla Abu; Zawiah, Mohammed","OBJECTIVE: To evaluate the prevalence and outcomes of carbapenem de-escalation among hospitalized urinary tract infection (UTI) patients at Jordan University Hospital from January 2022 to March 2024., METHODS: This retrospective study included adult patients who received carbapenems as empirical therapy and underwent urine culture testing. Patients who were discharged before culture results (n = 31) were excluded. The primary outcome was to assess the rate of effective de-escalation, which is the transition to a narrower-spectrum antibiotic without therapeutic failure. Secondary outcomes included the effect on successful de-escalation on patients' hospital length of stay, and the relationship between urine culture results and the success of de-escalation. When determining whether to de-escalate, factors such as clinical stability, and urine culture results and susceptibility were considered. Chi-square test assessed associations between culture results and de-escalation success., RESULTS: A total of 205 patients who received carbapenems as empirical therapy and underwent urine culture testing were included in the study. Out of these, 116 individuals (56.6%) had negative culture results, indicating no infection, while 89 individuals (43.4%) tested positive, confirming the presence of an infection. Among these patients, 95.6% (196 out of 205) required de-escalation of their treatment, whereas 4.4% did not. The prevalence of successful de-escalation was 40.3% (79 out of 196). The analysis revealed that successful de-escalation is much more likely in cases with urine cultures showing growth (86.8%) compared to those with no growth (17.2%) (p = 0.001). The study also indicated no significant differences in the length of hospital stay between the successfully de-escalated group and those who failed or were incorrectly de-escalated (P > 0.05)., CONCLUSIONS: The study underscores the challenges of implementing effective antibiotic stewardship in UTI management, particularly regarding carbapenem de-escalation. Enhanced protocols and clinician education are essential to optimize de-escalation practices, especially in cases with negative microbiological results. Further research is needed to refine these strategies and address the growing issue of antibiotic resistance in UTIs. Copyright © 2025. The Author(s).",2025,/,BMC infectious diseases,25,1,562,,https://dx.doi.org/10.1186/s12879-025-10962-y,40251544,#5096,Abuelshayeb 2025,"",Not RCT
Evaluation of the Effectiveness of Dose Individualization to Achieve Therapeutic Vancomycin Concentrations.,"Abulfathi, Ahmed A; Chirehwa, Maxwell; Rosenkranz, Bernd; Decloedt, Eric H","The glycopeptide antibiotic vancomycin is used for treatment of methicillin-resistant Gram-positive cocci. Adequate vancomycin plasma concentrations are related to bacterial cure. However, inter- and intrapatient variability make it difficult to achieve therapeutic vancomycin concentrations. The primary objective of this study was to determine the effectiveness of using computerized therapeutic drug monitoring (TDM) to assist in achieving therapeutic vancomycin concentrations at a tertiary hospital in South Africa. This was a 2-period study consisting of a retrospective 1-month observational period followed by a prospective 1-month period in which computerized TDM was implemented as an intervention to assist with vancomycin dose individualization. During the prospective period, all vancomycin TDM results were followed by dosage individualization using computerized TDM. The retrospective period included 77 patients with 292 vancomycin concentrations: 69% (53/77) adult and 31% (24/77) pediatric patients. The prospective period included 80 patients with 217 vancomycin concentrations measured: 69% (55/80) adult and 31% (25/80) pediatric patients. Fewer vancomycin TDM data were requested during the prospective period with a median (interquartile range) of 2 (1-3) samples per patient compared with 3 (1-5) samples per patient during the retrospective period. The odds ratio of achieving therapeutic trough concentrations was 3.63 (95%CI 1.81-7.3) in the prospective period when TDM-adjusted vancomycin dosing and appropriate TDM procedures were applied. The use of computerized TDM resulted in a higher frequency of therapeutic vancomycin concentrations in a middle-income setting. Trough vancomycin concentrations alone correlate poorly with the area under plasma concentration-time curve from 0 to 24 hours. Copyright © 2018, The American College of Clinical Pharmacology.",2018,/,Journal of clinical pharmacology,58,9,1134-1139,,https://dx.doi.org/10.1002/jcph.1254,29746714,#5098,Abulfathi 2018,"",Not RCT
Impact of Point-of-Care Rapid Diagnostic Tests on Antibiotic Prescription Among Patients Aged <18 Years in Primary Healthcare Settings in 2 Peri-Urban Districts in Ghana: Randomized Controlled Trial Results.,"Adjei, Alexander; Kukula, Vida; Narh, Clement Tetteh; Odopey, Selase; Arthur, Emmanuel; Odonkor, Gabriel; Mensah, Michael Matey; Olliaro, Piero; Horgan, Philip; Dittrich, Sabine; Moore, Catrin E; Salami, Olawale; Awini, Elizabeth; Nkeramahame, Juvenal; Williams, John; Baiden, Rita","BACKGROUND: Inappropriate antibiotic prescriptions are a known driver of antimicrobial resistance in settings with limited diagnostic capacity. This study aimed to assess the impact of diagnostic algorithms incorporating rapid diagnostic tests on clinical outcomes and antibiotic prescriptions compared with standard-of-care practices, of acute febrile illness cases at outpatient clinics in Shai-Osudoku and Prampram districts in Ghana., METHODS: This was an open-label, centrally randomized controlled trial in 4 health facilities. Participants aged 6 months to <18 years of both sexes with acute febrile illness were randomized to receive a package of interventions to guide antibiotic prescriptions or standard care. Clinical outcomes were assessed on day 7., RESULTS: In total, 1512 patients were randomized to either the intervention (n = 761) or control (n = 751) group. Majority were children aged <5 years (1154 of 1512, 76.3%) and male (809 of 1512, 53.5%). There was 11% relative risk reduction of antibiotic prescription in intervention group (RR, 0.89; 95% CI, .79 to 1.01); 14% in children aged <5 years (RR, 0.86; 95% CI, .75 to .98), 15% in nonmalaria patients (RR, 0.85; 95% CI, .75 to .96), and 16% in patients with respiratory symptoms (RR, 0.84; 95% CI, .73 to .96). Almost all participants had favorable outcomes (759 of 761, 99.7% vs 747 of 751, 99.4%)., CONCLUSIONS: In low- and middle-income countries, the combination of point-of-care diagnostics, diagnostic algorithms, and communication training can be used at the primary healthcare level to reduce antibiotic prescriptions among children with acute febrile illness, patients with nonmalarial fevers, and respiratory symptoms., CLINICAL TRIALS REGISTRATION: NCT04081051. Copyright © The Author(s) 2023. Published by Oxford University Press on behalf of Infectious Diseases Society of America.",2023,/,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,77,Suppl 2,S145-S155,,https://dx.doi.org/10.1093/cid/ciad328,37490745,#5127,Adjei 2023,"",Possible RCT
Clinical Outcomes of the Adapted AAP 2019 Guidelines on Early Onset Sepsis in Thailand.,"Aeimcharnbanchong, Kanokwan; Jangmeonwai, Patraporn","Background: Antibiotic overuse in early-onset sepsis (EOS) remains a significant clinical challenge. Panyananthaphikkhu Chonprathan Medical Center adapted the 2019 American Academy of Pediatrics (AAP) guidelines by integrating the EOS calculator with enhanced observation. This study aimed to evaluate clinical outcomes before and after implementation in Thailand, focusing on timely initiation of empirical antibiotics in neonates with EOS and the reduction in unnecessary investigations and antibiotic exposure. Methods: This retrospective cohort observational study included neonates >= 35 weeks' gestation. Participants were divided into two groups: ""before"" (1 February 2017-31 January 2018) and ""after"" (1 February 2023-31 January 2024) guideline implementation. Data were analyzed using Pearson chi-square, Mann-Whitney U-test, and binary logistic regression, with statistical significance defined as p < 0.05. Results: Among 3040 neonates (1639 before and 1401 after guideline implementation), antibiotic use declined from 11% to 7.9% (p < 0.001), with an Odds Ratio of 1.46 (95% Confidence Interval 1.14-1.87). Following the implementation of the Adapted AAP 2019 guidelines, a neonate with GBS septicemia was identified at birth with respiratory distress and was promptly started on antibiotics per the guideline. Conclusions: The Adapted AAP 2019 guidelines improved EOS management by reducing unnecessary investigations and antibiotic use while ensuring timely empirical antibiotic administration, as shown by the prompt management of a GBS septicemia case. Key to this reduction lies in the Adapted AAP 2019 guidelines, which provide clear definitions of EOS and recommend serial clinical observation for asymptomatic neonates born to mothers with risk factors for EOS.",2025,/,"Antibiotics (Basel, Switzerland)",14,10,,,https://dx.doi.org/10.3390/antibiotics14101048,41148740,#5137,Aeimcharnbanchong 2025,"",Not RCT
"Impact of a pharmacist-led educational intervention on knowledge, attitude, and practice toward the rational use of antibiotics among healthcare workers in a secondary care hospital in Punjab, Pakistan.","Afzal, Shairyar; Khan, Farman Ullah; Aqeel, Muhammad Tahir; Ullah, Matti; Bajwa, Mishal; Akhtar, Masoom; Majid, Muhammad","Introduction: Growing antimicrobial resistance (AMR) and decreasing efficacy of the available antimicrobials have become a significant public health concern. The antimicrobial stewardship program (ASP) ensures the appropriate use of antimicrobials and mitigates resistance prevalence through various interventions. One of the core components of the ASP is to educate healthcare workers (HWs). Therefore, this study aims to identify the impact of a pharmacist-led educational intervention targeting knowledge, attitude, and practices regarding rational antibiotic use among healthcare professionals in a secondary care hospital in Punjab. Methods: This is a single-center, questionnaire-based, pre-post interventional study conducted over a six-month time period. Data analysis was conducted using SPSS version 26. Results: Regarding the pre-interventional knowledge, attitude, and practice (KAP) score of the respondents, 90.3% had a good knowledge score, 81.5% had a positive attitude, and 72.3% of HWs (excluding doctors) had a good practice score. Additionally, 74.6% of the doctors had a good practice score. After educational intervention, there was a significant improvement in the knowledge, attitude, and practice of the respondent HWs (p-value <0.001). Furthermore, males have higher knowledge scores compared to females in the pre- and post-intervention stages (p-value <0.05), and doctors differ from nurses regarding knowledge scores in both pre- and post-intervention stages. Conclusion:  Considering educational programs as the backbone of the ASP, it is imperative to sustain efforts in the ongoing educational programs of HWs to foster high awareness and adherence to the ASP among HWs. Copyright © 2024 Afzal, Khan, Aqeel, Ullah, Bajwa, Akhtar and Majid.",2023,/,Frontiers in pharmacology,14,101548923,1327576,,https://dx.doi.org/10.3389/fphar.2023.1327576,38348350,#5154,Afzal 2023,"",Possible RCT
