journal,mother_org_or_publisher
IEEE Conference on Artificial Intelligence,IEEE
Abdominal radiology (New York),Springer Nature (Springer)
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,the Society for Academic Emergency Medicine
Academic radiology,Elsevier
ACS nano,American Chemical Society (ACS Publications)
ACS omega,American Chemical Society (ACS Publications)
Acta neurochirurgica,Springer Nature (Springer)
"Acta radiologica (Stockholm, Sweden : 1987)",SAGE Publishing – Nordic Society of Medical Radiology
Addictive behaviors,Elsevier
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Wiley
Advances in experimental medicine and biology,Springer Nature (Springer)
"Advances in simulation (London, England)",BMC (Springer Nature) – Society for Simulation in Europe (SESAM)
Advances in skin & wound care,Wolters Kluwer (Lippincott Williams & Wilkins)
Age and ageing,Oxford University Press
AIDS and behavior,Springer Nature (Springer)
AJNR. American journal of neuroradiology,American Society of Neuroradiology (ASNR)
AJR. American journal of roentgenology,American Roentgen Ray Society (ARRS)
"Alzheimer's & dementia (New York, N. Y.)",Wiley – Alzheimer's Association
American journal of clinical pathology,Oxford University Press
American journal of epidemiology,Oxford University Press
American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,Oxford University Press – ASHP
American journal of hypertension,Oxford University Press
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",the International Society of Psychiatric Genetics
American journal of ophthalmology case reports,Elsevier
American journal of pharmaceutical education,American Association of Colleges of Pharmacy (AACP) – Elsevier
American journal of speech-language pathology,American Speech-Language-Hearing Association (ASHA)
AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,American Medical Informatics Association (AMIA)
Analytical chemistry,American Chemical Society (ACS Publications)
Anatolian journal of cardiology,Unknown / needs verification
Annals of biomedical engineering,Springer Nature (Springer)
Annals of gastroenterological surgery,Unknown / needs verification
Annals of internal medicine,American College of Physicians (ACP)
Annals of plastic surgery,Wolters Kluwer (Lippincott Williams & Wilkins)
Annals of surgery,Wolters Kluwer (Lippincott Williams & Wilkins)
Annals of surgical treatment and research,Unknown / needs verification
Annals of vascular surgery,Elsevier
APL bioengineering,AIP Publishing
Applied artificial intelligence : AAI,Taylor & Francis
Applied clinical informatics,Thieme
Applied psychology. Health and well-being,Unknown / needs verification
Archives of academic emergency medicine,Unknown / needs verification
Archives of disease in childhood,BMJ Publishing Group
Archives of rehabilitation research and clinical translation,Elsevier – American Congress of Rehabilitation Medicine
Archives of suicide research : official journal of the International Academy for Suicide Research,the International Academy for Suicide Research
Arthritis care & research,Wiley
Artificial intelligence in medicine,Elsevier
Asia Pacific allergy,Unknown / needs verification
Asian journal of psychiatry,Elsevier
Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,the Confederation of Australian Critical Care Nurses
Behavior modification,SAGE Publishing
Behavior research methods,Springer Nature (Springer)
BioData mining,BMC (Springer Nature)
"Bioengineering (Basel, Switzerland)",MDPI
BioImpacts : BI,Unknown / needs verification
"Bioinformatics (Oxford, England)",Oxford University Press
Bioinformatics advances,Oxford University Press
Biology,MDPI
Biomedical engineering online,BMC (Springer Nature)
Biomedical physics & engineering express,IOP Publishing
Biomolecules,MDPI
Biotech (Basel (Switzerland)),MDPI
BJPsych bulletin,Cambridge University Press – Royal College of Psychiatrists
BJPsych open,Cambridge University Press – Royal College of Psychiatrists
BMC bioinformatics,BMC (Springer Nature)
BMC digital health,BMC (Springer Nature)
BMC genomics,BMC (Springer Nature)
BMC medical education,BMC (Springer Nature)
BMC medical informatics and decision making,BMC (Springer Nature)
BMC medical research methodology,BMC (Springer Nature)
BMC medicine,BMC (Springer Nature)
BMC methods,BMC (Springer Nature)
BMC neurology,BMC (Springer Nature)
BMC ophthalmology,BMC (Springer Nature)
